Ba,Ca,Sr,Ti,Zr,Sn,Hf,NCT,ea,av,AN,t,D,EVW,P,evw,ENMB,T0,a0,a11,a111
82.5,17.5,0,87.5,12.5,0,0,-69.625,3420445438,3959670.943,2.049484536,1.037450056,0.212765957,1.222493639,2.44746045,73755.04688,0.595516304,36.4,1.97175,-4.18,1.64
80.75,19.25,0,88.75,11.25,0,0,-62.6625,3429741192,3921631.162,2.042455775,1.036533389,0.21141649,1.221378011,2.434449361,73590.27116,0.595724756,59.7,2.50847,-7.62,3.41
75.5,24.5,0,92.5,7.5,0,0,-41.775,3457602032,3808565.353,2.020556745,1.033775535,0.20746888,1.218022247,2.39498232,73096.86538,0.596347403,81.2,3.93785,-17.9,19.32
89.5,10.5,0,92.2,0,7.8,0,-61.386,3392569540,4061011.847,2.159278862,1.048087945,0.205778253,1.237589902,2.697058698,73775.39774,0.585234964,59.4,2.64407,-5.2,1.44
88,12,0,92.8,0,7.2,0,-56.664,3399692157,4028697.084,2.151898734,1.046929742,0.205321945,1.235991874,2.671166827,73672.89344,0.585997937,77.8,2.79661,-3.1,1.42
85.6,14.4,0,94,6,0,0,-33.42,3398769732,3921203.285,2.201733102,1.044246358,0.205930807,1.230133181,2.518340316,73706.19536,0.590661479,96.9,6.41243,-6.48,5.29
83.8,16.2,0,97,3,0,0,-16.71,3407297560,3861604.471,2.225732032,1.044329048,0.202922078,1.230107615,2.514606436,73469.98814,0.590006468,109.6,6.59887,-8.18,7.45
91,9,0,85,15,0,0,-83.55,3373121025,4102600.45,2.136032389,1.043999982,0.215517241,1.230209392,2.529248095,74417.0915,0.592647059,44.4,2.57062,-2.5,0.918
80,20,0,88,2,10,0,-89.84,3454168222,4004330.942,1.939586645,1.03692216,0.209555742,1.225558374,2.598740698,73240.216,0.59070368,28.4,3.0791,-4.21,1.67
84,16,0,90,10,0,0,-55.7,3410338010,3949086.782,2.11092437,1.040349376,0.210084034,1.22576437,2.477963831,73756.804,0.593492408,75.9,3.09605,-3.3,1.44
