"","ba","ca","sr","cd","ti","zr","sn","hf","Phase"
"6",98,0,0,2,100,0,0,0,"T"
"7",95,0,0,5,100,0,0,0,"T"
"8",90,0,0,10,100,0,0,0,"T"
"9",85,0,0,15,100,0,0,0,"T"
"10",80,0,0,20,100,0,0,0,"T"
"11",75,0,0,25,100,0,0,0,"T"
"12",96.5,3.5,0,0,77.5,22.5,0,0,"C"
"13",93,7,0,0,80,20,0,0,"C"
"14",89.5,10.5,0,0,82.5,17.5,0,0,"R"
"15",87.75,12.25,0,0,83.75,16.25,0,0,"R"
"16",86,14,0,0,85,15,0,0,"R"
"17",84.25,15.75,0,0,86.25,13.75,0,0,"R"
"18",82.5,17.5,0,0,87.5,12.5,0,0,"T"
"19",80.75,19.25,0,0,88.75,11.25,0,0,"T"
"20",77.25,22.75,0,0,91.25,8.75,0,0,"T"
"21",75.5,24.5,0,0,92.5,7.5,0,0,"T"
"22",72,28,0,0,95,5,0,0,"T"
"23",68.5,31.5,0,0,97.5,2.5,0,0,"T"
"24",100,0,0,0,99,0,1,0,"T"
"25",100,0,0,0,98,0,2,0,"T"
"26",100,0,0,0,97,0,3,0,"T"
"27",100,0,0,0,96,0,4,0,"T"
"28",100,0,0,0,95,0,5,0,"T"
"29",100,0,0,0,94,0,6,0,"T"
"30",100,0,0,0,93,0,7,0,"T"
"31",98.5,1.5,0,0,88.6,0,11.4,0,"R"
"32",97,3,0,0,89.2,0,10.8,0,"T"
"33",95.5,4.5,0,0,89.8,0,10.2,0,"T"
"34",94,6,0,0,90.4,0,9.6,0,"T"
"35",92.5,7.5,0,0,91,0,9,0,"T"
"36",91,9,0,0,91.6,0,8.4,0,"T"
"37",89.5,10.5,0,0,92.2,0,7.8,0,"T"
"38",88,12,0,0,92.8,0,7.2,0,"T"
"39",85,15,0,0,94,0,6,0,"T"
"40",82,18,0,0,95.2,0,4.8,0,"T"
"41",79,21,0,0,96.4,0,3.6,0,"T"
"42",76,24,0,0,97.6,0,2.4,0,"T"
"43",73,27,0,0,98.8,0,1.2,0,"T"
"44",100,0,0,0,88,0,12,0,"R"
"45",85,15,0,0,90,10,0,0,"T"
"63",89.2,10.8,0,0,88,12,0,0,"R"
"64",87.4,12.6,0,0,91,9,0,0,"T"
"65",85.6,14.4,0,0,94,6,0,0,"T"
"66",83.8,16.2,0,0,97,3,0,0,"T"
"67",91,9,0,0,85,15,0,0,"R"
"68",82.9,17.1,0,0,98.5,1.5,0,0,"T"
"90",95,0,5,0,80,20,0,0,"R"
"91",90,0,10,0,80,20,0,0,"C"
"92",85,0,15,0,80,20,0,0,"C"
"93",83,0,17,0,79,21,0,0,"C"
"94",88,12,0,0,88.8,0,11.2,0,"T"
"95",84,16,0,0,90.4,0,9.6,0,"T"
"96",80,20,0,0,92,0,8,0,"T"
"97",76,24,0,0,93.6,0,6.4,0,"T"
"98",86.5,13.5,0,0,88.1,0,11.9,0,"T"
"99",82,18,0,0,89.8,0,10.2,0,"T"
"100",77.5,22.5,0,0,91.5,0,8.5,0,"T"
"101",73,27,0,0,93.2,0,6.8,0,"T"
"102",88,12,0,0,84.6,0,15.4,0,"C"
"103",84,16,0,0,86.8,0,13.2,0,"R"
"104",80,20,0,0,89,0,11,0,"T"
"105",76,24,0,0,91.2,0,8.8,0,"T"
"106",91,9,0,0,86,14,0,0,"R"
"112",96,0,4,0,100,0,0,0,"T"
"128",60,0,40,0,100,0,0,0,"T"
"129",88.3,11.7,0,0,89.5,10.5,0,0,"T"
"130",87.85,12.15,0,0,90.25,9.75,0,0,"T"
"131",86.95,13.05,0,0,91.75,8.25,0,0,"T"
"132",86.5,13.5,0,0,92.5,7.5,0,0,"T"
"133",80,20,0,0,88,2,10,0,"T"
"134",84,16,0,0,90,10,0,0,"T"
"135",85,15,0,0,89,11,0,0,"T"
"136",60,10,30,0,90,10,0,0,"C"
"137",76,24,0,0,99,1,0,0,"T"
"139",83,17,0,0,87,13,0,0,"T"
"140",78,22,0,0,100,0,0,0,"T"
"141",84,16,0,0,85,15,0,0,"R"
"142",76,24,0,0,97,3,0,0,"T"
"143",81,17,2,0,88,12,0,0,"T"
"144",83,17,0,0,87,13,0,0,"T"
"145",89,11,0,0,90,10,0,0,"T"
"146",91,9,0,0,88,12,0,0,"R"
"148",88,9,3,0,81,19,0,0,"C"
"149",90,10,0,0,93,0,7,0,"T"
"150",91,9,0,0,89,0,11,0,"R"
"151",73,27,0,0,96,4,0,0,"T"
"152",79,21,0,0,91,9,0,0,"T"
"153",90,10,0,0,95,0,5,0,"T"
"154",91,9,0,0,96,1,3,0,"T"
"155",95,1,4,0,79,21,0,0,"C"
"156",96,3,1,0,72,27,1,0,"C"
"157",88,12,0,0,92,2,6,0,"T"
"158",94,6,0,0,84,16,0,0,"C"
"161",88,12,0,0,92,3,5,0,"T"
"162",83,17,0,0,92,8,0,0,"T"
"163",84,16,0,0,91,8,1,0,"T"
"164",78,13,9,0,83,0,17,0,"R"
"165",87,13,0,0,91,4,5,0,"T"
"166",86,14,0,0,87,13,0,0,"C"
"168",92,8,0,0,91,1,8,0,"T"
"169",85,15,0,0,91,5,4,0,"T"
"170",84,16,0,0,89,7,4,0,"T"
"171",84,16,0,0,90,7,3,0,"T"
"172",76,8,16,0,85,6,9,0,"R"
"173",84,16,0,0,90,6,4,0,"T"
"174",85,15,0,0,87,6,7,0,"R"
"175",83,17,0,0,90,7,3,0,"T"
"176",74,11,15,0,92,3,5,0,"T"
"177",84,15,1,0,90,7,3,0,"T"
"178",83,17,0,0,90,3,7,0,"T"
"179",84,16,0,0,90,8,2,0,"T"
"181",85,15,0,0,91,9,0,0,"T"
"182",91,9,0,0,90,0,10,0,"T"
"183",84,15,1,0,92,8,0,0,"T"
"184",84,16,0,0,91,9,0,0,"T"
"185",94,6,0,0,91,0,9,0,"T"
"186",95,5,0,0,91,0,9,0,"T"
"187",93,7,0,0,91,0,9,0,"T"
"188",93,7,0,0,92,0,8,0,"T"
"189",86,14,0,0,91,9,0,0,"T"
"190",95,5,0,0,89,0,11,0,"R"
"191",86,14,0,0,91,8,1,0,"T"
"192",91,9,0,0,91,0,9,0,"T"
"193",86,14,0,0,92,8,0,0,"T"
"194",97,3,0,0,88,0,12,0,"R"
"195",87,13,0,0,92,8,0,0,"T"
"196",82,18,0,0,83,17,0,0,"R"
"197",86,14,0,0,90,10,0,0,"T"
"198",85,15,0,0,93,0,7,0,"T"
"199",86,14,0,0,90,9,1,0,"T"
